dvx, dvy, dvz
0.14331890219951926,0.33599585825504547,-0.0918172800108253
0.13917721101435548,0.3403221492803903,-0.11051229953367525
0.1458672078672863,0.33921343235444046,-0.130021622792803
0.16548123259749054,0.331703014358486,-0.1480869928957305
0.19230090202629738,0.309018641910421,-0.15667877884346804
0.0003205826245421787,0.00036916272324393986,-0.0002574048146677899
0.0003500029705144071,0.0003220645561327469,-0.00022998490631866055
0.0005224560507514505,0.0004206759207721665,-0.0002769120695454966
0.18952141575386186,0.15111417570204053,-0.06362205079337818
0.32213194841167925,0.2591786662947352,-0.0787596519744804
0.3226874956888525,0.2798084451547511,-0.052255816691479
0.3133580458527503,0.30771668434149113,-0.025362261634792656
0.29456274732824067,0.34009270666484287,0.0019441946990091372
0.26675873666850763,0.3740102770093093,0.030052112790889634
0.23072925518668286,0.4066366883242187,0.05947101587519619
0.18770878946876082,0.43539161618061667,0.09069243366710027
0.13931162153971272,0.45811581019803566,0.12408118390304282
0.010030459577273316,0.0555179148130494,0.01893102735111006
1.58711224755527e-5,0.0005943984665270079,0.00026351543135566264
-2.8865092702058875e-5,0.0001950439594693929,0.0001092990503865078
-3.187376782142702e-5,9.292891090164474e-5,6.527378380271065e-5
-3.4853763495052574e-5,7.828358313840392e-5,6.471336495782617e-5
-3.62481910041394e-5,6.136226976792921e-5,6.128586983958107e-5
-3.674750273650769e-5,4.424795987345334e-5,5.5602187809023894e-5
-3.706186387670465e-5,3.03596784712941e-5,5.064461224931155e-5
-3.754829544480933e-5,1.90567858676715e-5,4.687414861505344e-5
-3.8438660540971286e-5,9.2031086777985e-6,4.40740215588903e-5
-3.973686833819655e-5,-2.1720815998127337e-8,4.184360668896677e-5
-4.04364308089518e-5,-8.369596554429152e-6,3.9230590053279365e-5
-3.754279709215186e-5,-1.355683216908911e-5,3.465760649209035e-5
-3.645055978597447e-5,-2.11272470483537e-5,3.2600647807547805e-5
-5.942806808675846e-5,-5.5596289434655036e-5,4.416950719703034e-5
-7.453371527289175e-5,-8.017624953005242e-5,4.602980068205744e-5
-0.00011139688129280912,-0.0001516874152045313,6.292844800517035e-5
-0.1111238734057701,-0.2680696081171227,0.045334933137915506
-0.16607335526011038,-0.4864180166465543,0.05285016912610843
-0.1418653426402324,-0.5102976773833112,0.03154686386734406
-0.11781588265787048,-0.5321294003424305,0.013066570164694615
-0.0935060550538763,-0.5526934152255603,-0.0030618889433218265
-0.06862040281871343,-0.5724634542957083,-0.01720935636732998
-0.042922138917876204,-0.591744370630074,-0.02968417810659941